Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top
Felix,Albert,Laven,Tamlen,Hichi,Gisela,Mikaeus,Damia,Grace,Tenderfist 1,Tenderfist 2,Tenderfist 3,Tenderfist 4,Tenderfist 5,Hushmage 1,Hushmage 2,Hushmage 3,Hushmage 4,Hushmage 5,Jazargo
Mechanist,Warlock,Adventurer,Spear Master,Shifter,Merchant,Hero,Sage,Maid,Shifter,Shifter,Shifter,Shifter,Shifter,Basara,Basara,Basara,Basara,Basara,Werefolk
46,35,38,42,43,50,40,42,26,30,30,30,30,30,30,30,30,30,30,50
46,35,38,42,43,50,40,42,26,30,30,30,30,30,30,30,30,30,30,50
22,5,18,20,18,24,21,14,17,15,15,15,15,15,0,0,0,0,0,0
3,26,16,8,17,16,5,25,17,0,0,0,0,0,15,15,15,15,15,0
19,25,20,22,29,25,25,27,18,17,17,17,17,17,17,17,17,17,17,28
22,21,22,21,29,25,23,22,28,23,23,23,23,23,19,19,19,19,19,21
22,21,15,14,25,37,20,20,13,15,15,15,15,15,15,15,15,15,15,14
18,5,11,16,4,18,19,28,18,10,10,10,10,10,11,11,11,11,11,16
12,18,24,10,18,18,5,31,21,11,11,11,11,11,10,10,10,10,10,13
7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
33,34,26,26,24,38,26,35,20,20,20,20,20,20,16,16,16,16,16,9
121,139,126,119,153,161,138,166,112,122,122,122,122,122,137,137,137,137,137,133
8,21,13,19,18,47,11,14,7,7,7,7,7,7,7,7,7,7,7,12
45,43,49,43,73,81,70,63,57,51,51,51,51,51,50,50,50,50,50,43
11,11,13,17,23,14,10,35,7,8,8,8,8,8,18,18,18,18,18,17
Steel Bow,Fimbulvetr,Iron Bow,Steel Lance,Beaststone,Aurum,Sunrise Katana,Depit,Carving Knife,Beastcharm,Beastcharm,Beastcharm,Beastcharm,Beastcharm,Ember,Ember,Ember,Ember,Ember,Beastrune
Iron Bow,Garnet Grimoire,Heal,Javelin,Wildstone,Crescent Glaive,Sunset Sword,Horse Spirit,Mend,,,,,,,,,,,
Wrist Launcher,,Sun Festal,Concoction(2),Vulnerary(3),Concoction(5),Handaxe,Physic,Restore,,,,,,,,,,,
Concoction(2),Wizard's Wind,Vulnerary(3),,,Duelist's Draft(5),Concoction(2),Concoction(2),Concoction(2),,,,,,,,,,,
Sting Shuriken,,,,,Steadfast Vigor(5),,,,,,,,,,,,,,
,,,,,Jolaripa's Sigil,Iron Bracers,Byrtdelin's Sigil,Wrestling Belt,,,,,,,,,,,
Potent Potion,Witch's Brew,Locktouch,Seal Defence,Evenhanded,Potent Potion,Good Fortune,Miracle,Resistance +,Certain Riposte,Certain Riposte,Certain Riposte,Certain Riposte,Certain Riposte,Certain Riposte,Certain Riposte,Certain Riposte,Certain Riposte,Certain Riposte,Lifetaker+
Duelist Blow,Seal Defence,Resistance +,Good Fortune,Refresh,Luck +,Preparation,Defense +,Strength +,,,,,,,,,,,Certain Riposte
Quick Salve,Bloody Sacrifice,Movement +,Swap,Beastbane,Quick Salve,Strong Riposte,Rally Luck,Demoiselle,,,,,,,,,,,Certain Blow
Vantage,Swap,Gentilhomme,Strong Riposte,Inspiring Song,Underdog,Exploit,Natural Cover,Lunge,,,,,,,,,,,Warding Riposte
Dismantle,Warp,Seal Precision,Seal Speed,Grisly Wound,Profiteer,Sol,Rally Magic,Live To Serve,,,,,,,,,,,Armored Riposte
,,,,Voice Of Peace,Expertise,,Wary Fighter,,,,,,,,,,,,
,,,,,Incense Burner,,Tomefaire,,,,,,,,,,,,
,,,,,Line of Death,,Pavise,,,,,,,,,,,,
J,J,L,J,I,I,I,K,K,,,N,,,,,,,,
11,7,7,9,10,6,8,6,8,,,13,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,
