Name,Description
Aegis,"(Skill) Halve damage taken from Tomes, Knives, and Bows."
Aether,(Skill/2) Perform Sol and Luna in succession.
Aggressor,"During player phase, grants Atk+7."
Air Superiority,Grants +30 hit and avoid against flying units.
Amaterasu,"At the start of the player phase, restore HP to all allies within 2 tiles by 20% of their max HP."
Armored Blow,Grants +15 Defense during player phase.
Astra,(Skill/2) Strike five times at half damage.
Awakening,"When HP is under half, grants +20 Hit, Critical, Avoid, and Critical Evade."
Axebreaker,Grants +50 hit and avoid against Axes.
Axefaire,Grants +5 Atk when wielding an Axe/Club.
Ballistician,Extends the maximum range of the user's equipped bow weapon to 10
Beastbane,Grants effective damage vs Beast units. (x2)
Better Odds,Increases Defense by 8 on odd numbered turns.
Bloody Sacrifice,(Command) Deal up to Luck/3 additional damage and lose that much damage for each attack. Cannot lose more HP than current HP.
Bowbreaker,Grants +50 hit and avoid against Bows.
Bowfaire,Grants +5 Atk when wielding a Bow/Yumi.
Camaraderie,"Restores 15% of max HP when within 2 spaces of an ally, or when paired up."
Careful Encouragement,Allies within 2 tiles and the user gain +1 Defense and Resistance.                                                                                 
Certain Blow,Grants +40 hit during player phase.
Charisma,Allies within 2 tiles are granted Hit and Crit +8.
Charm,Allies within 2 tiles and the are granted Avoid and Crit Evade +8.
Clarity,"Debuffs restore completely at the start of Player Phase, even self inflicted debuffs"
Close Counter,This unit can counter attack when attacked at 1-2 range regardless off the equipped weapon.
Counter,Returns 1/2 the damage dealt against range 1 physical attacks.
Countermagic,Returns 1/2 the damage dealt by magical attacks.
Curse,"When attacking, the opponent can't activate offensive or defensive proc skills."
Darting Blow,Doubling threshold is -5 when initiating combat.
Dash,+2 Mov
Death Blow,Grants +20 crit on player phase.
Defender,"Grants +1 to all stats when paired up. Applies to lead unit when in back of guard stance, and when leading in a pair up."
Defense +,Grants +2 Def.
Demoiselle,All male units within 2 spaces have +2 Def and Res.
Dismantle,"Grants effective damage against Monsters, Automatons, Golems, and other Mechanists."
Gentilhomme,All female units within 2 spaces have +2 Def and Res.
Draconic Hex,"After any battle against a unit with this skill, if the enemy survived the battle, they receive -4 to all stats."
Dragon Ward,(Luck*0.5) User has a chance of receiving half damage from enemy attacks.
Dual Guarder,"When in Dual Guard, generate 1 more shield than usual per action."
Dual Striker,"When supporting, damage +3."
Duelist Blow,Grants +30 Avoid on player phase.
Duelist Riposte,+15 Avoid on EP
Elbow Room,Grants +3 Atk on no-effect terrain.
Eminent Domain,Accelerate special charges by 10% everytime they would charge
Evasive Maneuvers,Grants avoid +15
Even Better,Increases Resistance by 8 on even numbered turns.
Even Keel,Grants +4 Res on even numbered turns.
Evenhanded,Increases Atk by 3 on even numbered turns.
Expertise,Unit gains +4 damage when they have WTA against an enemy.
Exploit,Damage dealt +2 and damage taken -2 against debuffed enemies.
Forceful Encouragement,Allies within 2 tiles and the user gain +1 Strength and Magic.
Future Sight,Immune to critical hits when initiating combat. +5 Critical Evade during enemy phase.
Galeforce,(Skill/2) Take another movement and action. Only builds on Player Phase
Gamble,"(Command) -20 hit, +20 crit. Lasts until next Player Phase."
Good Fortune,(Luck) Restores 25% of max HP at the start of the player phase.
Grisly Wound,"After combat, deal damage equal to 20% of opponent's max HP."
Hard Fighter,This unit cannot double nor be doubled while it has at least 50% of its max HP
Heartseeker,Adjacent enemies have -20 Avoid.
HP +,Grants +5 HP.
Ignis,(Skill*0.75) Add half of Str or Mag to Atk.
Immobilize,"If user's attack connects with the enemy, the enemy's Movement is reduced to 0 and Avoid reduced by 20 until the next turn."
Incense Burner,"While under the effect of a Tonic, it's benefit also affects any friendly units within 2 tiles."
Ineffable,This unit is immune to negative stat changes of any source.
Inevitable End,Stat reduction effects on the enemy will stack.
Inspiration,"All allies within 2 tiles have +2 Atk, Def, and Res."
Inspiring Song,"Units refreshed by the Singer gain +3 Skill, Speed, and +6 Luck for 1 turn."
Iron Will,Grants +4 Res during enemy phase.
Lancebreaker,Grants +50 hit and avoid against Lances.
Lancefaire,Grants +5 Atk when wielding a Lance/Naginata.
Lethality,(Skill/4) Instantly defeat enemy.
Lifetaker,"After defeating an enemy, restore HP equal to 50% of total HP."
Limit Breaker,Increases maximum stat caps by 10.
